No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
52,東ヌプカウシヌプリ,ひがしぬぷかうしぬぷり,,,,1252,43.24583333,143.1022222,北海道,石狩山地,
53,佐幌岳,さほろだけ,,,,1060,43.17333333,142.7811111,北海道,石狩山地,
54,西クマネシリ岳,にしくまねしりだけ,,,,1635,43.51916667,143.2333333,北海道,石狩山地,
55,東三国山,ひがしみくにやま,,,,1230,43.50833333,143.4636111,北海道,石狩山地,
56,喜登牛山,きとうしやま,,,,1312,43.44777778,143.4563889,北海道,石狩山地,
57,ピッシリ山,ぴっしりざん,,,,1032,44.35555556,142.0319444,北海道,天塩山地,
58,三頭山,さんとうさん,,,,1009,44.09166667,142.0858333,北海道,天塩山地,
59,ポロシリ山,ぽろしりやま,,,,730,43.9625,141.8361111,北海道,天塩山地,
60,暑寒別岳,しょかんべつだけ,,,,1492,43.71583333,141.5230556,北海道,増毛山地,日本二百名山
61,群別岳,くんべつだけ,,,,1376,43.68472222,141.4877778,北海道,増毛山地,
62,ピンネシリ,ぴんねしり,,,,1100,43.49194444,141.7066667,北海道,増毛山地,
63,イルムケップ山,いるむけっぷやま,,,,864,43.62916667,142.1102778,北海道,夕張山地,
64,富良野西岳,ふらのにしだけ,,,,1331,43.30916667,142.3116667,北海道,夕張山地,
65,芦別岳,あしべつだけ,,,,1726,43.23583333,142.2836111,北海道,夕張山地,日本二百名山
66,幾春別岳,いくしゅんべつだけ,,,,1068,43.22694444,142.1594444,北海道,夕張山地,
67,夕張岳,ゆうばりだけ,,,,1668,43.09972222,142.2511111,北海道,夕張山地,日本二百名山
68,ハッタオマナイ岳,はったおまないだけ,,,,1021,42.84694444,142.3130556,北海道,夕張山地,
69,トマム山,とまむさん,,,,1239,43.07861111,142.5961111,北海道,日高山脈,
70,芽室岳,めむろだけ,,,,1754,42.86888889,142.7852778,北海道,日高山脈,
71,剣山,つるぎやま,,,,1205,42.84861111,142.885,北海道,日高山脈,
72,チロロ岳,ちろろだけ,,,日高,1880,42.82555556,142.6752778,北海道,日高山脈,
73,ピパイロ岳,ぴぱいろだけ,,,日高,1916,42.77305556,142.7275,北海道,日高山脈,
74,戸蔦別岳,とったべつだけ,,,日高,1959,42.73861111,142.695,北海道,日高山脈,☓
75,幌尻岳,ぽろしりだけ,,,日高,2052,42.71944444,142.6827778,北海道,日高山脈,日本百名山
76,エサオマントッタベツ岳,えさおまんとったべつだけ,,,日高,1902,42.68916667,142.7577778,北海道,日高山脈,☓
77,札内岳,さつないだけ,,,日高,1895,42.69388889,142.7966667,北海道,日高山脈,
78,十勝幌尻岳,とかちぽろしりだけ,,,日高,1846,42.69555556,142.8594444,北海道,日高山脈,☓
79,イドンナップ岳,いどんなっぷだけ,,,日高,1752,42.63027778,142.6486111,北海道,日高山脈,
80,カムイエクウチカウシ山,かむいえくうちかうしやま,,,日高,1979,42.625,142.7663889,北海道,日高山脈,日本二百名山
81,１８３９峰,いっぱさんきゅうほう,,,日高,1842,42.53944444,142.8080556,北海道,日高山脈,
82,ペテガリ岳,ぺてがりだけ,,,日高,1736,42.49944444,142.8711111,北海道,日高山脈,日本二百名山
83,中ノ岳,なかのだけ,,,日高,1519,42.46805556,142.8844444,北海道,日高山脈,☓
84,神威岳,かむいだけ,,,日高,1600,42.42833333,142.9069444,北海道,日高山脈,
85,ピリカヌプリ,ぴりかぬぷり,,,日高,1631,42.40222222,142.9666667,北海道,日高山脈,
86,楽古岳,らっこだけ,,,日高,1471,42.2725,143.1111111,北海道,日高山脈,
87,豊似岳,とよにだけ,,,,1105,42.07694444,143.2330556,北海道,日高山脈,
88,アポイ岳,あぽいだけ,,,,810,42.10777778,143.0255556,北海道,日高山脈,
89,藻岩山,もいわやま,,,,531,43.0225,141.3222222,北海道,支笏・洞爺・積丹,
90,手稲山,ていねやま,,,,1023,43.07666667,141.1925,北海道,支笏・洞爺・積丹,
91,余市岳,よいちだけ,,,,1488,43.03277778,141.0197222,北海道,支笏・洞爺・積丹,
92,本倶登山,ぽんくとさん,,,,1009,42.95527778,140.9125,北海道,支笏・洞爺・積丹,
93,無意根山,むいねやま,,,,1464,42.93083333,141.0405556,北海道,支笏・洞爺・積丹,
94,札幌岳,さっぽろだけ,,,,1293,42.90027778,141.2005556,北海道,支笏・洞爺・積丹,
95,空沼岳,そらぬまだけ,,,,1251,42.865,141.2536111,北海道,支笏・洞爺・積丹,
96,恵庭岳,えにわだけ,,,,1320,42.79333333,141.2852778,北海道,支笏・洞爺・積丹,
97,風不死岳,ふっぷしだけ,,,,1102,42.71694444,141.3588889,北海道,支笏・洞爺・積丹,
98,樽前山,たるまえさん,,,,1041,42.69055556,141.3766667,北海道,支笏・洞爺・積丹,日本二百名山
99,ホロホロ山,ほろほろやま,,,,1322,42.63361111,141.1425,北海道,支笏・洞爺・積丹,
100,余別岳,よべつだけ,,,,1298,43.26,140.4591667,北海道,支笏・洞爺・積丹,
101,天狗岳,てんぐだけ,,,,872,43.18472222,140.6608333,北海道,支笏・洞爺・積丹,
102,雷電山,らいでんやま,,,,1211,42.90361111,140.4697222,北海道,支笏・洞爺・積丹,
103,目国内岳,めくんないだけ,,,,1220,42.89972222,140.5152778,北海道,支笏・洞爺・積丹,
104,ニセコアンヌプリ,にせこあんぬぷり,,,,1308,42.875,140.6588889,北海道,支笏・洞爺・積丹,
105,羊蹄山,ようていざん,後方羊蹄山,しりべしやま,,1898,42.82666667,140.8113889,北海道,支笏・洞爺・積丹,日本百名山
106,尻別岳,しりべつだけ,,,,1107,42.7725,140.9102778,北海道,支笏・洞爺・積丹,
107,貫気別山,ぬっきべつやま,,,,994,42.71,140.9227778,北海道,支笏・洞爺・積丹,
108,昆布岳,こんぶだけ,,,,1045,42.71027778,140.6555556,北海道,支笏・洞爺・積丹,
109,昭和新山,しょうわしんざん,,,,398,42.5425,140.8644444,北海道,支笏・洞爺・積丹,
110,有珠山,うすざん,,,,733,42.54388889,140.8391667,北海道,支笏・洞爺・積丹,
111,母衣月山,ほろづきやま,,,,504,42.77,140.215,北海道,渡島半島,
112,大平山,おおびらやま,,,,1191,42.63583333,140.1355556,北海道,渡島半島,
113,狩場山,かりばやま,,,,1520,42.61333333,139.9405556,北海道,渡島半島,
114,毛無山,けなしやま,,,,816,42.29527778,139.8105556,北海道,渡島半島,
115,遊楽部岳,ゆうらっぷだけ,見市岳,けんいちだけ,,1277,42.21916667,140.0105556,北海道,渡島半島,
116,乙部岳,おとべだけ,,,,1017,42.03944444,140.2747222,北海道,渡島半島,
117,駒ヶ岳,こまがたけ,,,,1131,42.06333333,140.6772222,北海道,渡島半島,日本二百名山
118,横津岳,よこつだけ,,,,1167,41.93777778,140.7713889,北海道,渡島半島,
119,恵山,えさん,,,,618,41.80472222,141.1661111,北海道,渡島半島,
120,函館山,はこだてやま,,,,334,41.75888889,140.7041667,北海道,渡島半島,
121,八幡岳,はちまんだけ,,,,665,41.85194444,140.23,北海道,渡島半島,
122,桂岳,かつらだけ,,,,734,41.78916667,140.4644444,北海道,渡島半島,
123,七ッ岳,ななつだけ,,,,957,41.62416667,140.2141667,北海道,渡島半島,
124,大千軒岳,だいせんげんだけ,,,,1072,41.57944444,140.1608333,北海道,渡島半島,
125,岩部岳,いわべだけ,,,,794,41.52722222,140.3108333,北海道,渡島半島,
126,神威山,かむいやま,,,,584,42.16027778,139.4427778,北海道,奥尻島,
127,江良岳,えらだけ,,,,732,41.51,139.3672222,北海道,渡島大島,
128,燧岳,ひうちだけ,,,,781,41.43916667,141.0530556,青森県,下北半島,
129,釜臥山,かまふせやま,,,,878,41.27861111,141.12,青森県,恐山山地,
130,桑畑山,くわはたやま,,,,400,41.3875,141.4408333,青森県,下北半島,
131,吹越烏帽子,ふっこしえぼし,,,,508,41.0375,141.3172222,青森県,下北半島,
132,丸屋形岳,まるやがただけ,,,,718,41.15277778,140.5866667,青森県,津軽半島,
133,四ッ滝山,よつだきやま,,,,670,41.12166667,140.4005556,青森県,津軽半島,
134,梵珠山,ぼんじゅさん,,,,468,40.79972222,140.5755556,青森県,津軽半島,
135,階上岳,はしかみだけ,種市岳,たねいちだけ,,739,40.40083333,141.5844444,青森県 岩手県,北上高地,
136,名久井岳,なくいだけ,,,,615,40.38805556,141.3083333,青森県,北上高地,
137,折爪岳,おりつめだけ,,,,852,40.26888889,141.3744444,岩手県,北上高地,
138,安家森,あっかもり,,,,1239,40.03805556,141.5411111,岩手県,北上高地,
139,遠島山,とおしまやま,,,,1262,40.02055556,141.6441667,岩手県,北上高地,
140,三巣子岳,みすごだけ,,,,1181,39.9,141.4855556,岩手県,北上高地,
141,姫神山,ひめかみさん,,,,1124,39.84416667,141.2469444,岩手県,北上高地,日本二百名山
142,堺ノ神岳,さかいのかみだけ,,,,1319,39.75027778,141.6263889,岩手県,北上高地,
143,害鷹森,がいたかもり,,,,1304,39.71166667,141.6044444,岩手県,北上高地,
144,青松葉山,あおまつばやま,,,,1365,39.6975,141.4836111,岩手県,北上高地,
145,峠ノ神山,とうげのかみやま,,,,1229,39.72694444,141.7811111,岩手県,北上高地,
146,早池峰山,はやちねさん,,,,1917,39.55861111,141.4886111,岩手県,北上高地,日本百名山
147,薬師岳,やくしだけ,,,,1645,39.53,141.4958333,岩手県,北上高地,
148,十二神山,じゅうにしんざん,,,,731,39.53861111,141.975,岩手県,北上高地,
149,六角牛山,ろっこうしさん,,,,1293,39.31833333,141.6502778,岩手県,北上高地,
150,五葉山,ごようざん,,,,1351,39.20527778,141.7322222,岩手県,北上高地,
151,物見山,ものみやま,,,,870,39.20111111,141.4016667,岩手県,北上高地,
152,氷上山,ひかみさん,,,,874,39.05888889,141.6605556,岩手県,北上高地,
153,室根山,むろねさん,,,,895,38.97527778,141.4472222,岩手県,北上高地,
154,徳仙丈山,とくせんじょうやま,,,,710,38.84833333,141.47,宮城県,北上高地,
155,金華山,きんかさん,,,,444,38.29527778,141.5666667,宮城県,北上高地,
156,八甲田山,はっこうださん,大岳,おおだけ,,1585,40.65888889,140.8772222,青森県,八甲田山とその周辺,日本百名山
157,高田大岳,たかだおおだけ,,,,1552,40.65277778,140.9083333,青森県,八甲田山とその周辺,☓
158,櫛ヶ峯,くしがみね,上岳,かみだけ,,1517,40.60305556,140.8425,青森県,八甲田山とその周辺,
159,戸来岳,へらいだけ,三ッ岳,みつだけ,,1159,40.45305556,141.0013889,青森県,八甲田山とその周辺,
160,白地山,しろじやま,,,,1034,40.44722222,140.7880556,秋田県,八甲田山とその周辺,
161,中岳,なかだけ,,,,1024,40.24611111,140.9444444,秋田県 岩手県,奥羽山脈北部,
162,稲庭岳,いなにわだけ,,,,1078,40.19861111,141.0461111,岩手県,奥羽山脈北部,
163,五ノ宮嶽,ごのみやだけ,,,,1115,40.14583333,140.8458333,秋田県,奥羽山脈北部,
164,七時雨山,ななしぐれやま,,,,1063,40.06916667,141.1055556,岩手県,奥羽山脈北部,
165,森吉山,もりよしざん,,,,1454,39.97666667,140.5441667,秋田県,奥羽山脈北部,日本二百名山
166,焼山,やけやま,,,,1366,39.96388889,140.7569444,秋田県,奥羽山脈北部,
167,八幡平,はちまんたい,,,,1613,39.95777778,140.8541667,岩手県,奥羽山脈北部,日本百名山
168,茶臼岳,ちゃうすだけ,,,,1578,39.95083333,140.8988889,岩手県,奥羽山脈北部,☓
169,畚岳,もっこだけ,,,,1578,39.93583333,140.8505556,秋田県,奥羽山脈北部,☓
170,大深岳,おおふかだけ,,,,1541,39.88111111,140.8797222,岩手県 秋田県,奥羽山脈北部,
171,岩手山,いわてさん,,,,2038,39.8525,141.0011111,岩手県,奥羽山脈北部,日本百名山
172,烏帽子岳,えぼしだけ,乳頭山,にゅうとうざん,,1478,39.805,140.8386111,岩手県 秋田県,奥羽山脈北部,
173,秋田駒ヶ岳,あきたこまがたけ,男女岳,おなめだけ,,1637,39.76111111,140.7994444,秋田県,奥羽山脈北部,日本二百名山
174,岩木山,いわきさん,,,,1625,40.65583333,140.3030556,青森県,白神山地,日本百名山
175,向白神岳,むかいしらかみだけ,,,,1250,40.52388889,140.0455556,青森県,白神山地,☓
176,白神岳,しらかみだけ,,,,1235,40.5075,140.0183333,青森県,白神山地,日本二百名山
177,二ッ森,ふたつもり,,,,1086,40.435,140.1177778,青森県 秋田県,白神山地,
178,駒ヶ岳,こまがたけ,,,,1158,40.41277778,140.2511111,秋田県,白神山地,
179,田代岳,たしろだけ,,,,1178,40.42861111,140.4088889,秋田県,白神山地,
180,房住山,ぼうじゅうさん,,,,409,40.06055556,140.2161111,秋田県,出羽山地,
181,太平山,たいへいざん,,,,1170,39.79694444,140.3105556,秋田県,出羽山地,
182,大仏岳,だいぶつだけ,,,,1167,39.81361111,140.5155556,秋田県,出羽山地,
183,東光山,とうこうさん,,,,594,39.40638889,140.1616667,秋田県,出羽山地,
184,八塩山,やしおやま,,,,713,39.23666667,140.2277778,秋田県,出羽山地,
185,鳥海山,ちょうかいざん,,,,2236,39.09916667,140.0488889,山形県,出羽山地,日本百名山
186,丁岳,ひのとだけ,,,,1146,39.03194444,140.2194444,秋田県 山形県,出羽山地,
187,甑山,こしきやま,,,,981,39.01194444,140.3105556,山形県,出羽山地,
188,加無山,かぶやま,,,,997,39.00944444,140.2602778,山形県,出羽山地,
189,寒風山,かんぷうざん,,,,355,39.93361111,139.8752778,秋田県,男鹿半島,
190,本山,ほんざん,,,,715,39.90694444,139.7538889,秋田県,男鹿半島,
191,東根山,あずまねやま,,,,928,39.5875,141.0597222,岩手県,奥羽山脈中部,
192,和賀岳,わがだけ,,,,1439,39.57027778,140.7541667,岩手県 秋田県,奥羽山脈中部,日本二百名山
193,真昼岳,まひるだけ,,,,1059,39.44777778,140.6766667,岩手県 秋田県,奥羽山脈中部,
194,黒森,くろもり,,,,944,39.34833333,140.8683333,岩手県,奥羽山脈中部,
195,焼石岳,やけいしだけ,,,,1547,39.16361111,140.8288889,岩手県,奥羽山脈中部,日本二百名山
196,栗駒山,くりこまやま,,,,1626,38.96083333,140.7883333,岩手県 宮城県,奥羽山脈中部,日本二百名山
197,高松岳,たかまつだけ,,,,1348,38.9675,140.6063889,秋田県,奥羽山脈中部,
198,虎毛山,とらげさん,,,,1433,38.90472222,140.6188889,秋田県,奥羽山脈中部,
199,荒雄岳,あらおだけ,,,,984,38.83305556,140.6916667,宮城県,奥羽山脈中部,
200,神室山,かむろさん,,,,1365,38.90222222,140.4922222,秋田県 山形県,奥羽山脈中部,日本二百名山
201,火打岳,ひうちだけ,,,,1238,38.84027778,140.4486111,山形県,奥羽山脈中部,
202,杢蔵山,もくぞうやま,,,,1026,38.78944444,140.4013889,山形県,奥羽山脈中部,
203,禿岳,かむろだけ,小鏑山,こかぶらやま,,1261,38.81083333,140.595,山形県 宮城県,奥羽山脈中部,
204,箟岳山,ののだけやま,,,,236,38.56583333,141.1786111,宮城県,奥羽山脈南部,
205,大高森,おおたかもり,,,,105,38.34055556,141.1525,宮城県,奥羽山脈南部,
206,翁山,おきなさん,,,,1075,38.65083333,140.5447222,山形県,奥羽山脈南部,
207,薬莱山,やくらいさん,,,,553,38.57555556,140.7052778,宮城県,奥羽山脈南部,
208,船形山,ふながたやま,御所山,ごしょざん,,1500,38.45555556,140.62,宮城県 山形県,奥羽山脈南部,日本二百名山
209,泉ヶ岳,いずみがたけ,,,,1175,38.41194444,140.7088889,宮城県,奥羽山脈南部,
210,太白山,たいはくさん,,,,321,38.235,140.8022222,宮城県,奥羽山脈南部,
211,大東岳,だいとうだけ,,,,1365,38.30222222,140.5236111,宮城県,奥羽山脈南部,
212,熊野岳,くまのだけ,,,蔵王,1841,38.14361111,140.44,山形県,蔵王山とその周辺,日本百名山
213,刈田岳,かっただけ,,,蔵王,1758,38.12777778,140.4480556,宮城県,蔵王山とその周辺,☓
214,屏風岳,びょうぶだけ,,,蔵王,1825,38.09583333,140.4761111,宮城県,蔵王山とその周辺,
215,不忘山,ふぼうさん,御前岳,ごぜんだけ,蔵王,1705,38.07555556,140.4788889,宮城県,蔵王山とその周辺,☓
216,青麻山,あおそやま,,,,799,38.08472222,140.6075,宮城県,蔵王山とその周辺,
217,栗子山,くりこやま,,,,1217,37.87444444,140.27,福島県 山形県,吾妻山とその周辺,
218,信夫山,しのぶやま,,,,275,37.77083333,140.4616667,福島県,吾妻山とその周辺,
219,西吾妻山,にしあづまやま,,,吾妻,2035,37.73833333,140.1408333,福島県 山形県,吾妻山とその周辺,日本百名山
220,西大巓,にしだいてん,,,吾妻,1982,37.73388889,140.1277778,山形県 福島県,吾妻山とその周辺,☓
221,東大巓,ひがしだいてん,,,吾妻,1928,37.75444444,140.1888889,福島県 山形県,吾妻山とその周辺,☓
222,東吾妻山,ひがしあづまやま,,,吾妻,1975,37.71166667,140.2302778,福島県,吾妻山とその周辺,
223,一切経山,いっさいきょうざん,,,吾妻,1949,37.73527778,140.2444444,福島県,吾妻山とその周辺,
224,吾妻小富士,あづまこふじ,,,吾妻,1707,37.72222222,140.2636111,福島県,吾妻山とその周辺,
225,箕輪山,みのわやま,,,,1728,37.64722222,140.2808333,福島県,吾妻山とその周辺,☓
226,鉄山,てつざん,,,,1709,37.63305556,140.2830556,福島県,吾妻山とその周辺,☓
227,安達太良山,あだたらやま,,,,1700,37.62111111,140.2877778,福島県,吾妻山とその周辺,日本百名山
228,磐梯山,ばんだいさん,,,,1816,37.60111111,140.0722222,福島県,吾妻山とその周辺,日本百名山
229,高館山　,たかだてやま,,,,273,38.76305556,139.7475,山形県,朝日山地,
230,金峰山,きんぼうさん,,,,471,38.68222222,139.7980556,山形県,朝日山地,
231,羽黒山,はぐろさん,,,,414,38.7025,139.9827778,山形県,朝日山地,
232,月山,がっさん,,,,1984,38.54888889,140.0269444,山形県,朝日山地,日本百名山
233,葉山,はやま,,,,1462,38.52916667,140.2105556,山形県,朝日山地,
234,温海岳,あつみだけ,,,,736,38.62,139.6308333,山形県,朝日山地,
235,摩耶山,まやさん,,,,1020,38.52027778,139.7277778,山形県,朝日山地,
236,以東岳,いとうだけ,,,朝日,1772,38.34305556,139.8491667,山形県 新潟県,朝日山地,日本二百名山
237,大朝日岳,おおあさひだけ,,,朝日,1871,38.26055556,139.9222222,山形県,朝日山地,日本百名山
238,祝瓶山　,いわいがめやま,,,朝日,1417,38.1975,139.8797222,山形県,朝日山地,
239,鷲ヶ巣山,わしがすやま,,,,1093,38.22194444,139.6688889,新潟県,朝日山地,
240,新保岳,しんぼだけ,,,,852,38.36111111,139.5108333,新潟県,朝日山地,
241,白鷹山,しらたかやま,,,,994,38.22277778,140.1730556,山形県,朝日山地,
242,杁差岳,えぶりさしだけ,,,飯豊,1636,37.9425,139.6088889,新潟県,飯豊山地,日本二百名山
243,北股岳,きたまただけ,,,飯豊,2025,37.88,139.6386111,新潟県 山形県,飯豊山地,
244,飯豊山,いいでさん,,,飯豊,2105,37.85472222,139.7072222,福島県,飯豊山地,日本百名山
245,大日岳,だいにちだけ,,,飯豊,2128,37.83277778,139.6602778,新潟県,飯豊山地,
246,二王子岳,にのうじだけ,,,,1420,37.89972222,139.4991667,新潟県,飯豊山地,日本二百名山
247,五頭山,ごずさん,,,,912,37.80111111,139.3455556,新潟県,飯豊山地,
248,高陽山,こうようざん,,,,1126,37.72916667,139.6497222,福島県 新潟県,飯豊山地,
249,飯森山,いいもりさん,,,,1595,37.81388889,139.9255556,山形県 福島県,飯豊山地,
250,霊山,りょうぜん,,,,825,37.76888889,140.6875,福島県,阿武隈高地,
251,日山,ひやま,天王山,てんのうざん,,1057,37.54305556,140.6836111,福島県,阿武隈高地,
252,鎌倉岳,かまくらだけ,,,,967,37.46694444,140.6888889,福島県,阿武隈高地,
253,大滝根山,おおたきねやま,,,,1192,37.355,140.7016667,福島県,阿武隈高地,
254,屹兎屋山,きっとやさん,,,,875,37.21055556,140.8675,福島県,阿武隈高地,
255,蓬田岳,よもぎだだけ,,,,952,37.26583333,140.5347222,福島県,阿武隈高地,
256,三大明神山,さんだいみょうじんやま,,,,706,37.05194444,140.7625,福島県,阿武隈高地,
257,竪破山,たつわれさん,,,,658,36.71083333,140.5622222,茨城県,阿武隈高地,
258,男体山,なんたいさん,,,,654,36.72416667,140.4197222,茨城県,阿武隈高地,
259,高鈴山,たかすずやま,,,,623,36.62111111,140.5877778,茨城県,阿武隈高地,
260,八溝山,やみぞさん,,,,1022,36.93027778,140.2730556,茨城県 福島県,八溝山地,
261,吾国山,わがくにさん,,,,518,36.32194444,140.2011111,茨城県,筑波山とその周辺,
262,加波山,かばさん,,,,709,36.29888889,140.1436111,茨城県,筑波山とその周辺,
263,筑波山,つくばさん,,,,877,36.22527778,140.1066667,茨城県,筑波山とその周辺,日本百名山
264,三本槍岳,さんぼんやりだけ,,,那須,1917,37.15027778,139.9613889,福島県 栃木県,那須・日光,
265,茶臼岳,ちゃうすだけ,,,那須,1915,37.12472222,139.9630556,栃木県,那須・日光,日本百名山
266,男鹿岳,おがたけ,,,,1777,37.08527778,139.8219444,福島県 栃木県,那須・日光,
267,大佐飛山,おおさびやま,,,,1908,37.06361111,139.8444444,栃木県,那須・日光,
268,釈迦ヶ岳,しゃかがだけ,高原山,たかはらやま,,1795,36.9,139.7766667,栃木県,那須・日光,
269,女峰山,にょほうさん,,,日光,2483,36.81138889,139.5363889,栃木県,那須・日光,日本二百名山
270,大真名子山,おおまなごさん,,,日光,2376,36.79527778,139.5072222,栃木県,那須・日光,☓
271,小真名子山,こまなごさん,,,日光,2323,36.80722222,139.5108333,栃木県,那須・日光,☓
272,太郎山,たろうさん,,,日光,2368,36.81777778,139.4827778,栃木県,那須・日光,☓
273,男体山,なんたいさん,,,日光,2486,36.765,139.4908333,栃木県,那須・日光,日本百名山
274,白根山,しらねさん,,,,2578,36.79861111,139.3758333,群馬県 栃木県,那須・日光,日本百名山
275,皇海山,すかいさん,,,,2144,36.69,139.3369444,栃木県 群馬県,那須・日光,日本百名山
276,庚申山,こうしんざん,,,,1892,36.67305556,139.3611111,栃木県,那須・日光,
277,袈裟丸山,けさまるやま,,,,1961,36.64944444,139.3272222,栃木県 群馬県,那須・日光,
278,横根山,よこねやま,,,,1373,36.61972222,139.5222222,栃木県,那須・日光,
279,赤城山,あかぎやま,黒檜山,くろびさん,,1828,36.56027778,139.1933333,群馬県,那須・日光,日本百名山
280,地蔵岳,じぞうだけ,,,,1674,36.54111111,139.1772222,群馬県,那須・日光,☓
281,博士山,はかせやま,,,,1482,37.36305556,139.7147222,福島県,南会津・尾瀬,
282,小野岳,おのだけ,,,,1383,37.32583333,139.8866667,福島県,南会津・尾瀬,
283,七ヶ岳,ななつがたけ,一番岳,いちばんだけ,,1636,37.12416667,139.6575,福島県,南会津・尾瀬,
284,荒海山,あらかいざん,太郎岳,たろうだけ,,1581,37.03611111,139.6436111,福島県 栃木県,南会津・尾瀬,
285,田代山,たしろやま,,,,1971,36.97444444,139.4783333,福島県,南会津・尾瀬,
286,帝釈山,たいしゃくざん,,,,2060,36.96972222,139.46,福島県 栃木県,南会津・尾瀬,日本二百名山
287,黒岩山,くろいわやま,,,,2163,36.90888889,139.3936111,栃木県 群馬県,南会津・尾瀬,
288,鬼怒沼山,きぬぬまやま,,,,2141,36.88277778,139.3716667,栃木県 群馬県,南会津・尾瀬,
289,朝日岳,あさひだけ,,,,1624,37.22111111,139.3397222,福島県,南会津・尾瀬,日本二百名山
290,丸山岳,まるやまだけ,,,,1820,37.17277778,139.3347222,福島県,南会津・尾瀬,
291,会津駒ヶ岳,あいづこまがたけ,,,,2133,37.0475,139.3536111,福島県,南会津・尾瀬,日本百名山
292,平ヶ岳,ひらがたけ,,,,2141,37.00194444,139.1708333,群馬県 新潟県,南会津・尾瀬,日本百名山
293,景鶴山,けいづるやま,,,,2004,36.95694444,139.2105556,群馬県 新潟県,南会津・尾瀬,
294,燧ヶ岳,ひうちがたけ,,,,2356,36.955,139.2852778,福島県,南会津・尾瀬,日本百名山
295,至仏山,しぶつさん,,,,2228,36.90361111,139.1733333,群馬県,南会津・尾瀬,日本百名山
296,武尊山,ほたかやま,,,,2158,36.80527778,139.1325,群馬県,南会津・尾瀬,日本百名山
297,御神楽岳,みかぐらだけ,,,,1386,37.52194444,139.4258333,新潟県,越後山脈,日本二百名山
298,粟ヶ岳,あわがたけ,,,,1293,37.55527778,139.1886111,新潟県,越後山脈,
299,矢筈岳,やはずだけ,,,,1257,37.5125,139.2661111,新潟県,越後山脈,
300,守門岳,すもんだけ,,,,1537,37.39777778,139.1366667,新潟県,越後山脈,日本二百名山
301,浅草岳,あさくさだけ,,,,1585,37.34361111,139.2336111,新潟県 福島県,越後山脈,
302,毛猛山,けもうやま,,,,1517,37.25666667,139.1752778,福島県 新潟県,越後山脈,
303,未丈ヶ岳,みじょうがたけ,,,,1553,37.18333333,139.1894444,新潟県,越後山脈,
304,越後駒ヶ岳,えちごこまがたけ,,,越後三山,2003,37.12361111,139.0752778,新潟県,越後山脈,日本百名山
305,八海山,はっかいさん,入道岳,にゅうどうだけ,越後三山,1778,37.10388889,139.0247222,新潟県,越後山脈,日本二百名山
306,中ノ岳,なかのだけ,,,越後三山,2085,37.08527778,139.0775,新潟県,越後山脈,日本二百名山
307,荒沢岳,あらさわだけ,,,,1969,37.10055556,139.1480556,新潟県,越後山脈,日本二百名山
308,下津川山,しもつごうやま,,,,1928,36.99472222,139.05,新潟県 群馬県,越後山脈,
309,巻機山,まきはたやま,,,,1967,36.97861111,138.9641667,群馬県 新潟県,越後山脈,日本百名山
310,大源太山,だいげんたさん,,,,1598,36.9025,138.9269444,新潟県,越後山脈,
311,朝日岳,あさひだけ,,,,1945,36.88055556,138.9725,群馬県,越後山脈,
312,白毛門,しらがもん,,,,1720,36.85972222,138.9672222,群馬県,越後山脈,
313,茂倉岳,しげくらだけ,,,谷川,1978,36.84916667,138.9166667,群馬県 新潟県,越後山脈,
314,一ノ倉岳,いちのくらだけ,,,谷川,1974,36.84722222,138.9244444,群馬県 新潟県,越後山脈,☓
315,オキノ耳,おきのみみ,,,谷川,1977,36.83722222,138.93,群馬県 新潟県,越後山脈,日本百名山
316,万太郎山,まんたろうさん,,,谷川,1954,36.82416667,138.8791667,群馬県 新潟県,越後山脈,
317,仙ノ倉山,せんのくらやま,,,谷川,2026,36.8175,138.8394444,群馬県 新潟県,越後山脈,日本二百名山
318,吾妻耶山,あづまやさん,,,,1341,36.74638889,138.9272222,群馬県,越後山脈,
319,苗場山,なえばさん,,,,2145,36.84583333,138.6902778,新潟県 長野県,苗場山・白根山・浅間山,日本百名山
320,佐武流山,さぶりゅうやま,,,,2192,36.77222222,138.6705556,新潟県 長野県,苗場山・白根山・浅間山,日本二百名山
321,白砂山,しらすなやま,,,,2140,36.73805556,138.6936111,群馬県 長野県,苗場山・白根山・浅間山,日本二百名山
322,鳥甲山,とりかぶとやま,,,,2038,36.83916667,138.5838889,長野県,苗場山・白根山・浅間山,日本二百名山
323,高社山,こうしゃさん,,,,1351,36.79916667,138.4038889,長野県,苗場山・白根山・浅間山,
324,裏岩菅山,うらいわすげやま,,,,2341,36.75277778,138.5680556,長野県,苗場山・白根山・浅間山,☓
325,岩菅山,いわすげやま,,,,2295,36.74194444,138.5594444,長野県,苗場山・白根山・浅間山,日本二百名山
326,志賀山,しがやま,,,,2037,36.70027778,138.5158333,長野県,苗場山・白根山・浅間山,
327,笠ヶ岳,かさがたけ,,,,2076,36.67666667,138.4813889,長野県,苗場山・白根山・浅間山,
328,横手山,よこてやま,,,,2307,36.66888889,138.5258333,群馬県 長野県,苗場山・白根山・浅間山,
329,白根山,しらねさん,,,,2160,36.64388889,138.5277778,群馬県,苗場山・白根山・浅間山,☓
