No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
901,中津峰山,なかつみねやま,,,,773,33.9625,134.5094444,徳島県,四国山地東部,
902,太竜寺山,たいりゅうじやま,,,,618,33.87416667,134.5197222,徳島県,四国山地東部,
903,高越山,こうつざん,,,,1133,34.01722222,134.1958333,徳島県,剣山地,
904,雲早山,くもそうやま,,,,1496,33.90583333,134.2947222,徳島県,剣山地,
905,八面山,やつらやま,,,,1312,33.92333333,134.0997222,徳島県,剣山地,
906,剣山,つるぎさん,,,,1955,33.85361111,134.0941667,徳島県,剣山地,日本百名山
907,丸笹山,まるざさやま,,,,1712,33.87416667,134.09,徳島県,剣山地,☓
908,塔丸,とうのまる,,,,1713,33.86694444,134.0391667,徳島県,剣山地,
909,矢筈山,やはずさん,,,,1849,33.925,133.975,徳島県,剣山地,
910,中津山,なかつざん,,,,1447,33.92472222,133.8441667,徳島県,剣山地,
911,国見山,くにみざん,,,,1409,33.9075,133.7847222,徳島県,剣山地,
912,天狗塚,てんぐづか,,,,1812,33.82694444,133.9433333,徳島県,剣山地,
913,三嶺,みうね,,,,1894,33.83944444,133.9877778,徳島県 高知県,剣山地,日本二百名山
914,白髪山,しらがやま,,,,1770,33.81,133.9930556,高知県,剣山地,
915,石立山,いしたてざん,,,,1708,33.78472222,134.055,徳島県 高知県,剣山地,
916,梶ヶ森,かじがもり,,,,1400,33.75916667,133.7513889,高知県,四国山地東部,
917,甚吉森,じんきちもり,,,,1423,33.69472222,134.11,徳島県 高知県,四国山地東部,
918,天狗森,てんぐもり,,,,1296,33.61888889,134.0677778,高知県,四国山地東部,
919,鐘ヶ龍森,かねがりゅうもり,,,,1126,33.54694444,134.0819444,高知県,四国山地東部,
920,工石山,くいしやま,,,,1516,33.85555556,133.58,高知県,四国山地西部,
921,白髪山,しらがやま,,,,1469,33.81611111,133.5908333,高知県,四国山地西部,
922,稲叢山,いなむらやま,,,,1506,33.74694444,133.3591667,高知県,四国山地西部,
923,工石山,くいしやま,,,,1177,33.66972222,133.5061111,高知県,四国山地西部,
924,赤星山,あかぼしやま,,,,1453,33.91944444,133.4580556,愛媛県,石鎚山地,
925,東赤石山,ひがしあかいしやま,,,,1706,33.875,133.375,愛媛県,石鎚山地,日本二百名山
926,笹ヶ峰,ささがみね,,,,1860,33.82805556,133.2747222,愛媛県 高知県,石鎚山地,日本二百名山
927,伊予富士,いよふじ,,,,1756,33.78805556,133.2480556,愛媛県 高知県,石鎚山地,
928,瓶ヶ森,かめがもり,,,,1897,33.79472222,133.1933333,愛媛県,石鎚山地,
929,石鎚山,いしづちさん,天狗岳,てんぐだけ,,1982,33.76777778,133.115,愛媛県,石鎚山地,日本百名山
930,二ノ森,にのもり,,,,1930,33.75861111,133.0938889,愛媛県,石鎚山地,
931,筒上山,つつじょうざん,,,,1860,33.73194444,133.1611111,愛媛県 高知県,石鎚山地,
932,石墨山,いしずみさん,,,,1456,33.73388889,132.9847222,愛媛県,四国山地西部,
933,障子山,しょうじやま,,,,885,33.70527778,132.7652778,愛媛県,四国山地西部,
934,壺神山,つぼがみやま,,,,971,33.60555556,132.5547222,愛媛県,四国山地西部,
935,出石山,いずしやま,,,,812,33.535,132.4652778,愛媛県,四国山地西部,
936,神南山,かんなんざん,,,,710,33.5175,132.6327778,愛媛県,四国山地西部,
937,御在所山,ございしょざん,,,,915,33.34388889,132.7558333,愛媛県,四国山地西部,
938,笠取山,かさとりやま,,,,1562,33.55555556,132.9225,愛媛県,四国山地西部,
939,明神山,みょうじんさん,中津山,なかつさん,,1541,33.57555556,133.0466667,愛媛県 高知県,四国山地西部,
940,不入山,いらずやま,,,,1336,33.44083333,133.0630556,高知県,四国山地西部,
941,蟠蛇森,ばんだがもり,,,,770,33.44111111,133.2594444,高知県,四国山地西部,
942,鈴ヶ森,すずがもり,,,,1054,33.35638889,133.0511111,高知県,四国山地西部,
943,五在所ノ峯,ございしょのみね,,,,658,33.17722222,133.1508333,高知県,四国山地西部,
944,堂が森,どうがもり,,,,857,33.16,132.8766667,高知県,四国山地西部,
945,高月山,たかつきやま,,,,1229,33.20861111,132.6347222,愛媛県,四国山地西部,
946,三本杭,さんぼんぐい,,,,1226,33.18833333,132.6352778,愛媛県,四国山地西部,
947,篠山,ささやま,,,,1065,33.05583333,132.6591667,愛媛県 高知県,四国山地西部,
948,今ノ山,いまのやま,,,,868,32.8575,132.8502778,高知県,四国山地西部,
949,足立山,あだちやま,霧ヶ岳,きりがたけ,,598,33.85944444,130.9172222,福岡県,筑紫山地,
950,貫山,ぬきさん,,,,712,33.78055556,130.9094444,福岡県,筑紫山地,
951,福智山,ふくちやま,,,,901,33.74222222,130.8038889,福岡県,筑紫山地,
952,犬ヶ岳,いぬがたけ,,,,1131,33.51222222,131.0016667,大分県 福岡県,筑紫山地,
953,英彦山,ひこさん,,,,1199,33.47611111,130.9261111,福岡県 大分県,筑紫山地,日本二百名山
954,馬見山,うまみやま,,,,978,33.48638889,130.7677778,福岡県,筑紫山地,
955,犬鳴山,いぬなきやま,熊ヶ城,くまがしろ,,584,33.68722222,130.5491667,福岡県,筑紫山地,
956,三郡山,さんぐんざん,,,,936,33.55555556,130.5838889,福岡県,筑紫山地,
957,基山,きざん,,,,404,33.44277778,130.5102778,佐賀県,筑紫山地,
958,脊振山,せふりさん,,,,1055,33.43638889,130.3686111,福岡県 佐賀県,筑紫山地,
959,浮嶽,うきだけ,,,,805,33.47,130.0991667,福岡県 佐賀県,筑紫山地,
960,天山,てんざん,,,,1046,33.33888889,130.1427778,佐賀県,筑紫山地,
961,両子山,ふたごさん,,,,720,33.58305556,131.6016667,大分県,国東半島,
