No,種類,名称,よみ,別名,別名よみ,グループ名,高さ,緯度,経度,都道府県,地域,備考
845,山岳,琴引山,ことびきさん,弥山,みせん,,1013,35.04805556,132.7825,島根県,中国山地中部,
846,山岳,三瓶山,さんべさん,,,,1126,35.14055556,132.6216667,島根県,中国山地中部,日本二百名山
847,山岳,大江高山,おおえたかやま,,,,808,35.06388889,132.4286111,島根県,中国山地中部,
848,山岳,星居山,ほしのこやま,,,,834,34.74805556,133.2216667,広島県,吉備高原西部,
849,山岳,岳山,だけやま,,,,741,34.64888889,133.1566667,広島県,吉備高原西部,
850,山岳,龍王山,りゅうおうさん,,,,665,34.45583333,133.0833333,広島県,吉備高原西部,
851,山岳,鷹ノ巣山,たかのすざん,,,,922,34.56611111,132.7461111,広島県,吉備高原西部,
852,山岳,白木山,しらきやま,,,,889,34.52138889,132.5755556,広島県,吉備高原西部,
853,山岳,呉娑々宇山,ごさそうざん,,,,682,34.42277778,132.5477778,広島県,吉備高原西部,
854,山岳,野呂山,のろさん,膳棚山,ぜんだなやま,,839,34.26222222,132.6661111,広島県,吉備高原西部,
855,山岳,冠山,かんざん,,,,863,34.9175,132.5019444,島根県,中国山地西部,
856,山岳,阿佐山,あさやま,,,,1218,34.78583333,132.3813889,島根県 広島県,中国山地西部,
857,山岳,天狗石山,てんぐいしやま,,,,1192,34.79222222,132.3427778,島根県 広島県,中国山地西部,
858,山岳,雲月山,うんげつやま,,,,911,34.80222222,132.2388889,島根県 広島県,中国山地西部,
859,山岳,大佐山,おおさやま,,,,1069,34.74777778,132.2013889,島根県 広島県,中国山地西部,
860,山岳,臥龍山,がりゅうざん,,,,1223,34.69,132.1966667,広島県,中国山地西部,
861,山岳,深入山,しんにゅうざん,,,,1153,34.65,132.2066667,広島県,中国山地西部,
862,山岳,恐羅漢山,おそらかんざん,,,,1346,34.59555556,132.1297222,島根県 広島県,中国山地西部,
863,山岳,十方山,じっぽうざん,,,,1328,34.56527778,132.1422222,広島県,中国山地西部,
864,山岳,大峯山,おおみねやま,,,,1050,34.41583333,132.2169444,広島県,中国山地西部,
865,山岳,冠山,かんむりやま,,,,1339,34.46861111,132.0761111,広島県,中国山地西部,
866,山岳,寂地山,じゃくちさん,,,,1337,34.46722222,132.0544444,山口県 島根県,中国山地西部,
867,山岳,安蔵寺山,あぞうじやま,,,,1263,34.47722222,131.9672222,島根県,中国山地西部,
868,山岳,小五郎山,こごろうさん,,,,1162,34.41694444,132.0086111,山口県,中国山地西部,
869,山岳,羅漢山,らかんざん,,,,1109,34.35555556,132.0672222,山口県,中国山地西部,
870,山岳,鈴ノ大谷山,すずのおおたにやま,,,,1036,34.37666667,131.8391667,島根県,中国山地西部,
871,山岳,平家ヶ岳,へいけがだけ,,,,1066,34.31833333,131.8997222,島根県 山口県,中国山地西部,
872,山岳,馬糞ヶ岳,ばふんがだけ,,,,985,34.25055556,131.8963889,山口県,中国山地西部,
873,山岳,莇ヶ岳,あざみがだけ,,,,1004,34.3325,131.7777778,山口県,中国山地西部,
874,山岳,青野山,あおのやま,,,,907,34.46222222,131.7980556,島根県,中国山地西部,
875,山岳,十種ヶ峰,とくさがみね,,,,989,34.43833333,131.6952778,山口県 島根県,中国山地西部,
876,山岳,高山,こうやま,,,,533,34.65222222,131.6133333,山口県,中国山地西部,
877,山岳,西鳳翩山,にしほうべんざん,,,,742,34.21083333,131.4094444,山口県,中国山地西部,
878,山岳,大平山,おおひらやま,,,,631,34.07333333,131.6302778,山口県,中国山地西部,
879,山岳,桂木山,かつらぎさん,,,,702,34.30527778,131.3027778,山口県,中国山地西部,
880,山岳,花尾山,はなおやま,,,,669,34.28388889,131.2211111,山口県,中国山地西部,
881,山岳,天井ヶ岳,てんじょうがだけ,,,,691,34.31111111,131.0427778,山口県,中国山地西部,
882,山岳,狗留孫山,くるそんざん,御岳,おだけ,,616,34.21472222,130.9763889,山口県,中国山地西部,
883,山岳,竜王山,りゅうおうざん,,,,614,34.06833333,130.9358333,山口県,中国山地西部,
884,島,嶮岨山,けんそざん,星ヶ城山,ほしがじょうやま,,816,34.51527778,134.3175,香川県,瀬戸内海（小豆島）,
885,山岳,熊ヶ峰,くまがみね,,,,438,34.43333333,133.3683333,広島県,福山南部,
886,島,鷲ヶ頭山,わしがとうざん,,,,436,34.23916667,133.0213889,愛媛県,瀬戸内海（大三島）,
887,島,弥山,みせん,,,,535,34.27944444,132.3194444,広島県,瀬戸内海（厳島）,
888,山岳,皇座山,おおざさん,,,,526,33.85305556,132.1422222,山口県,柳井市南方,
889,山岳,五剣山,ごけんざん,八栗山,やくりやま,,375,34.36111111,134.1413889,香川県,讃岐山地とその周辺,
890,山岳,大平山,おおひらやま,,,,479,34.32972222,133.9525,香川県,讃岐山地とその周辺,
891,山岳,飯野山,いいのやま,,,,422,34.27444444,133.8458333,香川県,讃岐山地とその周辺,
892,山岳,象頭山,ぞうずさん,大麻山,おおさやま,,616,34.19666667,133.7886111,香川県,讃岐山地とその周辺,
893,山岳,矢筈山,やはずやま,,,,789,34.19416667,134.1966667,香川県,讃岐山地とその周辺,
894,山岳,大滝山,おおたきやま,,,,946,34.12333333,134.1269444,香川県 徳島県,讃岐山地とその周辺,
895,山岳,竜王山,りゅうおうざん,,,,1060,34.11555556,134.0483333,徳島県 香川県,讃岐山地とその周辺,
896,山岳,大川山,だいせんざん,,,,1043,34.11527778,133.9397222,徳島県 香川県,讃岐山地とその周辺,
897,山岳,雲辺寺山,うんぺんじさん,,,,927,34.03527778,133.7230556,香川県 徳島県,讃岐山地とその周辺,
898,山岳,東三方ヶ森,ひがしさんぽうがもり,,,,1233,33.90277778,132.9597222,愛媛県,高縄山地,
899,山岳,高縄山,たかなわさん,,,,986,33.94583333,132.85,愛媛県,高縄山地,
900,山岳,眉山,びざん,,,,290,34.06111111,134.5163889,徳島県,四国山地東部,
901,山岳,中津峰山,なかつみねやま,,,,773,33.9625,134.5094444,徳島県,四国山地東部,
902,山岳,太竜寺山,たいりゅうじやま,,,,618,33.87416667,134.5197222,徳島県,四国山地東部,
903,山岳,高越山,こうつざん,,,,1133,34.01722222,134.1958333,徳島県,剣山地,
904,山岳,雲早山,くもそうやま,,,,1496,33.90583333,134.2947222,徳島県,剣山地,
905,山岳,八面山,やつらやま,,,,1312,33.92333333,134.0997222,徳島県,剣山地,
906,山岳,剣山,つるぎさん,,,,1955,33.85361111,134.0941667,徳島県,剣山地,日本百名山
908,山岳,塔丸,とうのまる,,,,1713,33.86694444,134.0391667,徳島県,剣山地,
909,山岳,矢筈山,やはずさん,,,,1849,33.925,133.975,徳島県,剣山地,
910,山岳,中津山,なかつざん,,,,1447,33.92472222,133.8441667,徳島県,剣山地,
911,山岳,国見山,くにみざん,,,,1409,33.9075,133.7847222,徳島県,剣山地,
912,山岳,天狗塚,てんぐづか,,,,1812,33.82694444,133.9433333,徳島県,剣山地,
913,山岳,三嶺,みうね,,,,1894,33.83944444,133.9877778,徳島県 高知県,剣山地,日本二百名山
914,山岳,白髪山,しらがやま,,,,1770,33.81,133.9930556,高知県,剣山地,
915,山岳,石立山,いしたてざん,,,,1708,33.78472222,134.055,徳島県 高知県,剣山地,
916,山岳,梶ヶ森,かじがもり,,,,1400,33.75916667,133.7513889,高知県,四国山地東部,
917,山岳,甚吉森,じんきちもり,,,,1423,33.69472222,134.11,徳島県 高知県,四国山地東部,
918,山岳,天狗森,てんぐもり,,,,1296,33.61888889,134.0677778,高知県,四国山地東部,
919,山岳,鐘ヶ龍森,かねがりゅうもり,,,,1126,33.54694444,134.0819444,高知県,四国山地東部,
920,山岳,工石山,くいしやま,,,,1516,33.85555556,133.58,高知県,四国山地西部,
921,山岳,白髪山,しらがやま,,,,1469,33.81611111,133.5908333,高知県,四国山地西部,
922,山岳,稲叢山,いなむらやま,,,,1506,33.74694444,133.3591667,高知県,四国山地西部,
923,山岳,工石山,くいしやま,,,,1177,33.66972222,133.5061111,高知県,四国山地西部,
924,山岳,赤星山,あかぼしやま,,,,1453,33.91944444,133.4580556,愛媛県,石鎚山地,
925,山岳,東赤石山,ひがしあかいしやま,,,,1706,33.875,133.375,愛媛県,石鎚山地,日本二百名山
926,山岳,笹ヶ峰,ささがみね,,,,1860,33.82805556,133.2747222,愛媛県 高知県,石鎚山地,日本二百名山
927,山岳,伊予富士,いよふじ,,,,1756,33.78805556,133.2480556,愛媛県 高知県,石鎚山地,
928,山岳,瓶ヶ森,かめがもり,,,,1897,33.79472222,133.1933333,愛媛県,石鎚山地,
929,山岳,石鎚山,いしづちさん,天狗岳,てんぐだけ,,1982,33.76777778,133.115,愛媛県,石鎚山地,日本百名山
930,山岳,二ノ森,にのもり,,,,1930,33.75861111,133.0938889,愛媛県,石鎚山地,
931,山岳,筒上山,つつじょうざん,,,,1860,33.73194444,133.1611111,愛媛県 高知県,石鎚山地,
932,山岳,石墨山,いしずみさん,,,,1456,33.73388889,132.9847222,愛媛県,四国山地西部,
933,山岳,障子山,しょうじやま,,,,885,33.70527778,132.7652778,愛媛県,四国山地西部,
934,山岳,壺神山,つぼがみやま,,,,971,33.60555556,132.5547222,愛媛県,四国山地西部,
935,山岳,出石山,いずしやま,,,,812,33.535,132.4652778,愛媛県,四国山地西部,
936,山岳,神南山,かんなんざん,,,,710,33.5175,132.6327778,愛媛県,四国山地西部,
937,山岳,御在所山,ございしょざん,,,,915,33.34388889,132.7558333,愛媛県,四国山地西部,
938,山岳,笠取山,かさとりやま,,,,1562,33.55555556,132.9225,愛媛県,四国山地西部,
939,山岳,明神山,みょうじんさん,中津山,なかつさん,,1541,33.57555556,133.0466667,愛媛県 高知県,四国山地西部,
940,山岳,不入山,いらずやま,,,,1336,33.44083333,133.0630556,高知県,四国山地西部,
941,山岳,蟠蛇森,ばんだがもり,,,,770,33.44111111,133.2594444,高知県,四国山地西部,
942,山岳,鈴ヶ森,すずがもり,,,,1054,33.35638889,133.0511111,高知県,四国山地西部,
943,山岳,五在所ノ峯,ございしょのみね,,,,658,33.17722222,133.1508333,高知県,四国山地西部,
944,山岳,堂が森,どうがもり,,,,857,33.16,132.8766667,高知県,四国山地西部,
945,山岳,高月山,たかつきやま,,,,1229,33.20861111,132.6347222,愛媛県,四国山地西部,
946,山岳,三本杭,さんぼんぐい,,,,1226,33.18833333,132.6352778,愛媛県,四国山地西部,
947,山岳,篠山,ささやま,,,,1065,33.05583333,132.6591667,愛媛県 高知県,四国山地西部,
948,山岳,今ノ山,いまのやま,,,,868,32.8575,132.8502778,高知県,四国山地西部,
949,山岳,足立山,あだちやま,霧ヶ岳,きりがたけ,,598,33.85944444,130.9172222,福岡県,筑紫山地,
950,山岳,貫山,ぬきさん,,,,712,33.78055556,130.9094444,福岡県,筑紫山地,
951,山岳,福智山,ふくちやま,,,,901,33.74222222,130.8038889,福岡県,筑紫山地,
952,山岳,犬ヶ岳,いぬがたけ,,,,1131,33.51222222,131.0016667,大分県 福岡県,筑紫山地,
953,山岳,英彦山,ひこさん,,,,1199,33.47611111,130.9261111,福岡県 大分県,筑紫山地,日本二百名山
954,山岳,馬見山,うまみやま,,,,978,33.48638889,130.7677778,福岡県,筑紫山地,
955,山岳,犬鳴山,いぬなきやま,熊ヶ城,くまがしろ,,584,33.68722222,130.5491667,福岡県,筑紫山地,
956,山岳,三郡山,さんぐんざん,,,,936,33.55555556,130.5838889,福岡県,筑紫山地,
957,山岳,基山,きざん,,,,404,33.44277778,130.5102778,佐賀県,筑紫山地,
958,山岳,脊振山,せふりさん,,,,1055,33.43638889,130.3686111,福岡県 佐賀県,筑紫山地,
959,山岳,浮嶽,うきだけ,,,,805,33.47,130.0991667,福岡県 佐賀県,筑紫山地,
960,山岳,天山,てんざん,,,,1046,33.33888889,130.1427778,佐賀県,筑紫山地,
961,山岳,両子山,ふたごさん,,,,720,33.58305556,131.6016667,大分県,国東半島,
962,山岳,鹿嵐山,かならせやま,,,,758,33.43472222,131.2527778,大分県,阿蘇・くじゅうとその周辺,
963,山岳,鶴見岳,つるみだけ,,,,1375,33.28666667,131.4297222,大分県,阿蘇・くじゅうとその周辺,
964,山岳,由布岳,ゆふだけ,,,,1583,33.28222222,131.3902778,大分県,阿蘇・くじゅうとその周辺,日本二百名山
965,山岳,万年山,はねやま,,,,1140,33.23138889,131.1305556,大分県,阿蘇・くじゅうとその周辺,
966,山岳,涌蓋山,わいたざん,,,,1500,33.14,131.1644444,大分県,阿蘇・くじゅうとその周辺,
967,山岳,中岳,なかだけ,,,九重,1791,33.08583333,131.2488889,大分県,阿蘇・くじゅうとその周辺,日本百名山
968,山岳,黒岳,くろだけ,,,九重,1587,33.10555556,131.2927778,大分県,阿蘇・くじゅうとその周辺,
969,山岳,大船山,たいせんざん,,,九重,1786,33.095,131.2805556,大分県,阿蘇・くじゅうとその周辺,
970,山岳,三俣山,みまたやま,,,九重,1744,33.10388889,131.2463889,大分県,阿蘇・くじゅうとその周辺,
973,山岳,高岳,たかだけ,,,阿蘇山,1592,32.88444444,131.1038889,熊本県,阿蘇・くじゅうとその周辺,日本百名山
974,山岳,根子岳,ねこだけ,,,阿蘇山,1433,32.88361111,131.1444444,熊本県,阿蘇・くじゅうとその周辺,
976,山岳,杵島岳,きしまだけ,,,阿蘇山,1326,32.8925,131.0580556,熊本県,阿蘇・くじゅうとその周辺,
977,山岳,烏帽子岳,えぼしだけ,,,阿蘇山,1337,32.87361111,131.0580556,熊本県,阿蘇・くじゅうとその周辺,
978,山岳,鷹取山,たかとりやま,,,,802,33.30305556,130.7227778,福岡県,阿蘇・くじゅうとその周辺,
979,山岳,釈迦岳,しゃかだけ,,,,1231,33.1875,130.8891667,大分県,阿蘇・くじゅうとその周辺,
980,山岳,酒呑童子山,しゅてんどうじやま,,,,1181,33.09694444,130.9083333,大分県,阿蘇・くじゅうとその周辺,
981,山岳,国見山,くにみやま,,,,1018,33.10555556,130.8175,熊本県,阿蘇・くじゅうとその周辺,
982,山岳,筒ヶ岳,つつがたけ,,,,501,32.98472222,130.5275,熊本県,阿蘇・くじゅうとその周辺,
983,山岳,金峰山,きんぼうざん,,,,665,32.81416667,130.6388889,熊本県,阿蘇・くじゅうとその周辺,
984,山岳,黒髪山,くろかみざん,,,,516,33.21388889,129.9022222,佐賀県,佐賀西部・長崎・島原,
985,山岳,国見山,くにみやま,,,,776,33.23694444,129.8127778,長崎県,佐賀西部・長崎・島原,
986,山岳,虚空蔵山,こくぞうざん,,,,609,33.09055556,129.9213889,長崎県,佐賀西部・長崎・島原,
988,山岳,多良岳,たらだけ,,,,996,32.97555556,130.0927778,佐賀県,佐賀西部・長崎・島原,
991,山岳,雲仙岳,うんぜんだけ,平成新山,へいせいしんざん,,1483,32.76138889,130.2988889,長崎県,佐賀西部・長崎・島原,日本二百名山
992,山岳,長浦岳,ながうらだけ,,,,561,32.91361111,129.7447222,長崎県,佐賀西部・長崎・島原,
993,山岳,八郎岳,はちろうだけ,,,,590,32.67027778,129.8563889,長崎県,佐賀西部・長崎・島原,
994,島,御岳,みたけ,,,,479,34.57194444,129.3816667,長崎県,対馬,
995,島,白嶽,しらたけ,,,,518,34.26416667,129.2497222,長崎県,対馬,
996,島,有明山,ありあけやま,,,,558,34.20444444,129.265,長崎県,対馬,
997,島,矢立山,やたてやま,,,,648,34.1775,129.2261111,長崎県,対馬,
998,島,三王山,さんのうざん,雄嶽,おだけ,,439,32.93333333,129.0530556,長崎県,五島列島,
999,島,父ヶ岳,ててがたけ,,,,460,32.69833333,128.6811111,長崎県,五島列島,
1000,山岳,佩楯山,はいだてさん,,,,754,32.95305556,131.6458333,大分県,九州山地,
1001,山岳,傾山,かたむきやま,,,,1605,32.83888889,131.4758333,大分県,九州山地,
1002,山岳,大崩山,おおくえやま,,,,1644,32.73777778,131.5130556,宮崎県,九州山地,日本二百名山
1003,山岳,行縢山,むかばきやま,,,,830,32.62583333,131.5722222,宮崎県,九州山地,
1004,山岳,祖母山,そぼさん,,,,1756,32.82805556,131.3469444,大分県 宮崎県,九州山地,日本百名山
1006,山岳,諸塚山,もろつかやま,,,,1342,32.63472222,131.2875,宮崎県,九州山地,
1007,山岳,向坂山,むこうざかやま,,,,1685,32.57972222,131.105,熊本県 宮崎県,九州山地,
1008,山岳,国見岳,くにみだけ,,,,1739,32.54722222,131.0183333,熊本県 宮崎県,九州山地,
1009,山岳,上福根山,かみふくねやま,,,,1646,32.47333333,130.9469444,熊本県,九州山地,
1010,山岳,江代山,えしろやま,津野岳,つのだけ,,1607,32.37055556,131.0761111,熊本県 宮崎県,九州山地,
1011,山岳,市房山,いちふさやま,,,,1721,32.31166667,131.1011111,熊本県 宮崎県,九州山地,日本二百名山
1012,山岳,石堂山,いしどうやま,,,,1547,32.30027778,131.1677778,宮崎県,九州山地,
1013,山岳,尾鈴山,おすずやま,,,,1405,32.29916667,131.4266667,宮崎県,九州山地,日本二百名山
1014,山岳,仰烏帽子山,のけえぼしやま,,,,1302,32.37138889,130.7777778,熊本県,九州山地,
1015,山岳,白髪岳,しらがだけ,,,,1417,32.15027778,130.9433333,熊本県,九州山地,
1016,山岳,国見山,くにみやま,,,,969,32.18777778,130.6141667,熊本県,九州山地,
1017,山岳,矢筈岳,やはずだけ,,,,687,32.12277778,130.4005556,熊本県 鹿児島県,九州山地,
1018,山岳,紫尾山,しびさん,上宮山,じょうぐさん,,1067,31.98083333,130.3675,鹿児島県,九州山地,
1019,山岳,鰐塚山,わにつかやま,,,,1118,31.76888889,131.2694444,宮崎県,九州南部,
1020,山岳,韓国岳,からくにだけ,,,霧島,1700,31.93416667,130.8616667,宮崎県 鹿児島県,九州南部,日本百名山
1021,山岳,新燃岳,しんもえだけ,,,霧島,1421,31.90944444,130.8863889,宮崎県 鹿児島県,九州南部,
1022,山岳,高千穂峰,たかちほのみね,,,霧島,1574,31.88638889,130.9188889,宮崎県,九州南部,日本二百名山
1023,山岳,高隈山,たかくまやま,,,,1236,31.48611111,130.8186111,鹿児島県,九州南部,
1025,山岳,甫与志岳,ほよしだけ,,,,967,31.26416667,130.99,鹿児島県,九州南部,
1026,山岳,稲尾岳,いなおだけ,,,,930,31.12333333,130.8847222,鹿児島県,九州南部,
1027,山岳,桜島,さくらじま,御岳,おんたけ,,1117,31.5925,130.6566667,鹿児島県,九州南部,日本二百名山
1028,山岳,八重山,やえやま,,,,677,31.73444444,130.4483333,鹿児島県,九州南部,
1029,山岳,冠岳,かんむりだけ,西岳,にしだけ,,516,31.74861111,130.3311111,鹿児島県,九州南部,
1030,山岳,熊ヶ岳,くまがたけ,,,,590,31.45527778,130.4638889,鹿児島県,九州南部,
1031,山岳,金峯山,きんぽうざん,,,,636,31.46777778,130.3830556,鹿児島県,九州南部,
1032,山岳,野間岳,のまだけ,,,,591,31.40444444,130.1583333,鹿児島県,九州南部,
1033,山岳,開聞岳,かいもんだけ,,,,924,31.18,130.5283333,鹿児島県,九州南部,日本百名山
1034,島,倉岳,くらだけ,,,,682,32.42777778,130.3269444,熊本県,天草諸島,
1035,島,角山,かどやま,,,,526,32.39944444,130.0938889,熊本県,天草諸島,
1036,島,尾岳,おたけ,,,,604,31.72305556,129.7394444,鹿児島県,甑島列島,
1037,島,天女ヶ倉,あまめがくら,,,,238,30.74361111,131.0533333,鹿児島県,種子島,
1038,島,硫黄岳,いおうだけ,,,,704,30.79305556,130.3052778,鹿児島県,大隅諸島（薩摩硫黄島）,
1039,島,櫓岳,やぐらだけ,,,,622,30.82833333,129.9375,鹿児島県,大隅諸島（黒島）,
1040,島,古岳,ふるだけ,,,,657,30.44333333,130.2172222,鹿児島県,大隅諸島（口永良部島）,
1041,島,宮之浦岳,みやのうらだけ,,,,1936,30.33611111,130.5041667,鹿児島県,屋久島,日本百名山
1042,島,永田岳,ながただけ,,,,1886,30.34277778,130.4925,鹿児島県,屋久島,
1043,島,モッチョム岳,もっちょむだけ,,,,940,30.25666667,130.5641667,鹿児島県,屋久島,
1044,島,前岳,まえだけ,,,,628,29.96805556,129.9255556,鹿児島県,吐_喇列島（口之島）,
1045,島,御岳,おんたけ,,,,979,29.85916667,129.8569444,鹿児島県,吐_喇列島（中之島）,
1046,島,御岳,おたけ,,,,497,29.90305556,129.5416667,鹿児島県,吐_喇列島（臥蛇島）,
1047,島,御岳,おたけ,,,,796,29.63833333,129.7138889,鹿児島県,吐_喇列島（諏訪之瀬島）,
1048,島,御岳,みたけ,,,,584,29.465,129.5947222,鹿児島県,吐_喇列島（悪石島）,
1049,島,イマキラ岳,いまきらだけ,,,,292,29.14444444,129.2080556,鹿児島県,吐_喇列島（宝島）,
1050,島,横当島,よこあてじま,,,,495,28.80083333,128.9947222,鹿児島県,吐_喇列島（横当島）,
1051,島,湯湾岳,ゆわんだけ,,,,694,28.29611111,129.3211111,鹿児島県,奄美群島（奄美大島）,
1052,島,井之川岳,いのかわだけ,,,,645,27.77861111,128.9830556,鹿児島県,奄美群島（徳之島）,
1053,島,大山,おおやま,,,,240,27.36916667,128.5666667,鹿児島県,奄美群島（沖永良部島）,
1054,島,与那覇岳,よなはだけ,,,,503,26.71694444,128.2186111,沖縄県,沖縄島,
1055,島,八重岳,やえだけ,,,,453,26.63555556,127.9283333,沖縄県,沖縄島,
1056,島,恩納岳,おんなだけ,,,,363,26.47944444,127.8747222,沖縄県,沖縄島,
1057,島,於茂登岳,おもとだけ,,,,526,24.42722222,124.1833333,沖縄県,八重山列島（石垣島）,
1058,島,古見岳,こみだけ,,,,469,24.35916667,123.8911111,沖縄県,八重山列島（西表島）,
1059,島,宇良部岳,うらぶだけ,,,,231,24.45277778,123.0055556,沖縄県,八重山列島（与那国島）,
8000,建造物,東京スカイツリー,,,,,634,35.710139,139.810833,東京都,墨田区,高さ世界一の塔
8001,建造物,東京タワー,,,,,332.6,35.658611,139.745556,東京都,港区,
8002,建造物,あべのハルカス,,,,,300,34.645947,135.514267,大阪府,大阪市阿倍野区,高さ日本一のビル
8003,建造物,横浜ランドマークタワー,,,,,295.8,35.454722,139.631667,神奈川県,横浜市西区,
8004,建造物,りんくうゲートタワービル,,,,,256.1,34.411306,135.299861,大阪府,泉佐野市,
8005,建造物,さきしまコスモタワー,,大阪ワールドトレードセンタービルディング,,,256,34.637931,135.414467,大阪府,大阪市住之江区,
8006,建造物,ミッドタウン,,,,,248.1,35.666389,139.731667,東京都,港区,
8007,建造物,虎ノ門ヒルズ,,,,,247,35.666797,139.749408,東京都,港区,
8008,建造物,ミッドランドスクエア,,,,名古屋駅,246.9,35.170711,136.885181,愛知県,名古屋市中村区,
8009,建造物,JRセントラルタワーズ,,,,名古屋駅,245,35.171278,136.882639,愛知県,名古屋市中村区,
8010,建造物,東京都庁,,,,新宿新都心,242.9,35.6895,139.691694,東京都,新宿区,
8011,建造物,NTTドコモ代々木ビル,,ドコモタワー,,,239.9,35.685,139.703333,東京都,渋谷区,
8012,建造物,サンシャイン60,,,,,239.7,35.729167,139.718056,東京都,豊島区,
8013,建造物,六本木ヒルズ,,,,,238.1,35.6605,139.729056,東京都,港区,
8014,建造物,新宿パークタワー,,,,新宿新都心,235,35.685389,139.691056,東京都,新宿区,
8015,建造物,東京オペラシティ,,,,,234.4,35.683056,139.686861,東京都,新宿区,
8016,建造物,新宿三井ビル,,,,新宿新都心,224.9,35.691889,139.693917,東京都,新宿区,
8017,建造物,新宿センタービル,,,,新宿新都心,223,35.691694,139.695472,東京都,新宿区,
8018,建造物,聖路加タワー,せいるかタワー,,,,220.6,35.667418,139.778671,東京都,中央区,
8019,建造物,泉ガーデンタワー,,,,,216,35.664722,139.739444,東京都,港区,
8020,建造物,汐留シティセンター,,,,汐留,215.8,35.665361,139.761028,東京都,港区,
8021,建造物,G1TOWER,,,,,213.5,36.402244,140.513886,茨城県,ひたちなか市,高さ世界一のエレベーター研究施設
8022,建造物,電通本社ビル,,カレッタ汐留,,汐留,213.3,35.664333,139.762222,東京都,港区,
8023,建造物,アクトシティ浜松,,,,,213,34.705056,137.735694,静岡県,浜松市中区,
8024,建造物,新宿住友ビル,,,,新宿新都心,210.3,35.691389,139.6925,東京都,新宿区,
8025,建造物,豊島清掃工場,,,,,210,35.734678,139.714422,東京都,豊島区,高さ世界一の焼却炉煙突
8026,建造物,北浜タワー,,,,,209.4,34.689222,135.507194,大阪府,大阪市中央区,日本で最も高い分譲マンション
8027,建造物,グラントウキョウ,,,,,204.9,35.681694,139.768972,東京都,千代田区,
8028,建造物,コクーンタワー,,モード学園,,,203.7,35.691864,139.696931,東京都,新宿区,
8029,建造物,パークシティ武蔵小杉,,,,,203.5,35.5746634,139.6585,神奈川県,川崎市中原区,
8030,建造物,新宿野村ビル,,,,新宿新都心,203.3,35.692778,139.695278,東京都,新宿区,
8031,建造物,クロスタワー大阪ベイ,,,,,200.4,34.668389,135.460472,大阪府,大阪市港区,
8032,建造物,読売新聞本社ビル,,,,,200,35.6871845,139.7623109,東京都,千代田区,
8033,建造物,JPタワー,,,,,200,35.67975,139.764583,東京都,千代田区,
8034,建造物,JPタワー名古屋,,,,名古屋駅,200,35.172472,136.88225,愛知県,名古屋市中村区,
8035,建造物,大阪ベイタワー,,ORC200,おーくにひゃく,,200,34.669806,135.460222,大阪府,大阪市港区,
9000,都市,札幌市,,,,,,43.06417,141.34694,北海道,,
9001,都市,青森市,,,,,,40.82444,140.74,青森県,,
9002,都市,盛岡市,,,,,,39.70361,141.1525,岩手県,,
9003,都市,仙台市,,,,,,38.26889,140.87194,宮城県,,
9004,都市,秋田市,,,,,,39.71861,140.1025,秋田県,,
9005,都市,山形市,,,,,,38.24056,140.36333,山形県,,
9006,都市,福島市,,,,,,37.75,140.46778,福島県,,
9007,都市,水戸市,,,,,,36.34139,140.44667,茨城県,,
9008,都市,宇都宮市,,,,,,36.56583,139.88361,栃木県,,
9009,都市,前橋市,,,,,,36.39111,139.06083,群馬県,,
9010,都市,さいたま市,,,,,,35.85694,139.64889,埼玉県,,
9011,都市,千葉市,,,,,,35.60472,140.12333,千葉県,,
9012,都市,横浜市,,,,,,35.44778,139.6425,神奈川県,,
9013,都市,新潟市,,,,,,37.90222,139.02361,新潟県,,
9014,都市,富山市,,,,,,36.69528,137.21139,富山県,,
9015,都市,金沢市,,,,,,36.59444,136.62556,石川県,,
9016,都市,福井市,,,,,,36.06528,136.22194,福井県,,
9017,都市,甲府市,,,,,,35.66389,138.56833,山梨県,,
9018,都市,長野市,,,,,,36.65139,138.18111,長野県,,
9019,都市,岐阜市,,,,,,35.39111,136.72222,岐阜県,,
9020,都市,静岡市,,,,,,34.97694,138.38306,静岡県,,
9021,都市,名古屋市,,,,,,35.18028,136.90667,愛知県,,
9022,都市,津市,,,,,,34.73028,136.50861,三重県,,
9023,都市,大津市,,,,,,35.00444,135.86833,滋賀県,,
9024,都市,京都市,,,,,,35.02139,135.75556,京都府,,
9025,都市,大阪市,,,,,,34.68639,135.52,大阪府,,
9026,都市,神戸市,,,,,,34.69139,135.18306,兵庫県,,
9027,都市,奈良市,,,,,,34.68528,135.83278,奈良県,,
9028,都市,和歌山市,,,,,,34.22611,135.1675,和歌山県,,
9029,都市,鳥取市,,,,,,35.50361,134.23833,鳥取県,,
9030,都市,松江市,,,,,,35.47222,133.05056,島根県,,
9031,都市,岡山市,,,,,,34.66167,133.935,岡山県,,
9032,都市,広島市,,,,,,34.39639,132.45944,広島県,,
9033,都市,山口市,,,,,,34.18583,131.47139,山口県,,
9034,都市,徳島市,,,,,,34.06583,134.55944,徳島県,,
9035,都市,高松市,,,,,,34.34028,134.04333,香川県,,
9036,都市,松山市,,,,,,33.84167,132.76611,愛媛県,,
9037,都市,高知市,,,,,,33.55972,133.53111,高知県,,
9038,都市,福岡市,,,,,,33.60639,130.41806,福岡県,,
9039,都市,佐賀市,,,,,,33.24944,130.29889,佐賀県,,
